town.id,gis.name,gis.join,year,cbsa,state.name,co.pre100pct,co.pub.pre100pct,co.priv.pre100pct,co.bwf.pre100pct,nn5.co.pre100pct,nn10.co.pre100pct,co.pre100,co.pub.pre100,co.priv.pre100,co.bwf.pre100,nn5.co.pre100,nn10.co.pre100,l5.co.pre100,l5.co.pub.pre100,l5.co.priv.pre100,l5.co.bwf.pre100,l5.nn5.co.pre100,l5.nn10.co.pre100,unemp.r.pre,emp.n.pre,labf.n.pre,i.units.pre,r.units.pre,ln.unempr.pre,ln.emp.n.pre,ln.labf.n.pre,ln.r.units.pre,mhhi.ia.pre,ln.mhhi.ia.pre,agricu.pre,arts.pre,ln.agricu.pre,ln.arts.pre,popcen.pre,ln.popcen.pre,for.pct,agg.pct,hiden.pct,loden.pct,other.pct,ndata.pct,urban90,suburb90,exurb90,rural90,ctydist100,ctydist30,ln.ctydist100,ln.ctydist30,ln.pop.cen90
4,Avon,G090003002060,2000,25540,Connecticut,16.15249062,10.94557285,5.206917286,0,17.55626297,12.84593678,2.842143297,2.480360746,1.825664401,0,2.920807362,2.627991676,2.634442806,2.44752121,1.216657877,0,2.891444206,2.600610971,2.460000038,7137.200195,7317.399902,654,654,1.241268635,8.873215675,8.898146629,6.484635353,126782.6328,11.75023746,0,0.03337083,0,0.032826111,15838.5498,9.670265198,63.22390524,7.936313897,1.660027053,22.82353078,4.362910498,0,0,0,1,0,14.3281,8.69074,2.729687691,2.271170855,9.542408943
4,Avon,G090003002060,2005,25540,Connecticut,17.14232063,11.92803764,5.214282036,0,18.6610527,13.66586208,2.89824748,2.559398413,1.826850176,0,2.978639603,2.685522556,2.842143297,2.480360746,1.825664401,0,2.920807362,2.627991676,2.619999886,8264.799805,8488.799805,590,590,1.286473989,9.019882202,9.046620369,6.38181591,NA,NA,NA,NA,NA,NA,NA,NA,61.38417694,7.920111326,1.83089053,24.15214161,4.719367061,0,0,0,1,0,14.3281,8.69074,2.729687691,2.271170855,9.542408943
4,Avon,G090003002060,2010,25540,Connecticut,17.37357521,11.92951012,5.44406414,0,19.14541626,13.97606564,2.910913467,2.559512377,1.863159418,0,3.002976894,2.706453323,2.89824748,2.559398413,1.826850176,0,2.978639603,2.685522556,3.559999943,8822.200195,9150,301,301,1.517322659,9.085140228,9.121618271,5.710426807,117179.5781,11.6714716,0.001452433,0.060154926,0.001451379,0.058415055,18098,9.803611755,60.29271284,7.99817826,1.96345702,24.78551484,4.96682451,0,0,0,1,0,14.3281,8.69074,2.729687691,2.271170855,9.542408943
4,Avon,G090003002060,2015,25540,Connecticut,17.37357521,11.92951012,5.44406414,0,19.1618309,13.98427296,2.910913467,2.559512377,1.863159418,0,3.003791332,2.707001209,2.910913467,2.559512377,1.863159418,0,3.002976894,2.706453323,5.300000191,8662.799805,9150,143,143,1.840549707,9.066908836,9.121618271,4.969813347,129513.8594,11.77155113,0.001024124,0.030040965,0.0010236,0.029598573,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,14.3281,8.69074,2.729687691,2.271170855,9.542408943
5,Barkhamsted,G090005002760,1990,45860,Connecticut,21.31954575,21.23542404,0.084121957,0,20.35181427,19.81245613,3.10546279,3.101686716,0.080770403,0,3.061136723,3.035551548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96005.54688,11.47217178,NA,NA,NA,NA,3369,8.122668266,84.92200831,2.062777722,0.258630265,3.720159215,9.029686428,0,0,0,0,1,30.1802,16.7717,3.439783335,2.877607346,8.122668266
5,Barkhamsted,G090005002760,1995,45860,Connecticut,21.31954575,21.23542404,0.084121957,0,21.4971714,20.78245354,3.10546279,3.101686716,0.080770403,0,3.113389492,3.081104755,3.10546279,3.101686716,0.080770403,0,3.061136723,3.035551548,4.239999771,2020.199951,2110.199951,68,68,1.656321406,7.611446857,7.655011654,4.234106541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061749094,0,0,0,1,30.1802,16.7717,3.439783335,2.877607346,8.122668266
5,Barkhamsted,G090005002760,2000,45860,Connecticut,21.32044029,21.2363205,0.084121957,0,22.77968407,21.63846779,3.105502844,3.101727009,0.080770403,0,3.168831587,3.119650602,3.10546279,3.101686716,0.080770403,0,3.113389492,3.081104755,2.960000038,1983.199951,2043.400024,90,90,1.376244068,7.592970848,7.622859478,4.510859489,91979.94531,11.42933655,0.006072875,0.050607286,0.006054509,0.049368367,3494,8.159089088,84.70633394,2.05830315,0.25952518,3.831128602,9.137971072,0,0,0,0,1,30.1802,16.7717,3.439783335,2.877607346,8.122668266
5,Barkhamsted,G090005002760,2005,45860,Connecticut,21.33654976,21.2363205,0.100230411,0,24.2251091,22.87758064,3.106224298,3.101727009,0.095519625,0,3.227839947,3.172940016,3.105502844,3.101727009,0.080770403,0,3.168831587,3.119650602,3.680000067,2028,2106,96,96,1.543298125,7.615298271,7.653020382,4.574710846,NA,NA,NA,NA,NA,NA,NA,NA,84.59625946,2.107523443,0.263104837,3.891087868,9.135286328,0,0,0,0,1,30.1802,16.7717,3.439783335,2.877607346,8.122668266
5,Barkhamsted,G090005002760,2010,45860,Connecticut,21.33744431,21.2363205,0.10112533,0,25.08467674,23.74994659,3.106264353,3.101727009,0.096332684,0,3.261348009,3.208823442,3.106224298,3.101727009,0.095519625,0,3.227839947,3.172940016,4.920000076,2102.800049,2212.800049,38,38,1.778336406,7.651500702,7.702466011,3.663561583,97715.79688,11.48982906,0.004830918,0.03732982,0.004819287,0.036649931,3799,8.24275589,84.35463257,2.145109848,0.260420094,3.976999652,9.256099774,0,0,0,0,1,30.1802,16.7717,3.439783335,2.877607346,8.122668266
5,Barkhamsted,G090005002760,2015,45860,Connecticut,21.33744431,21.2363205,0.10112533,0,25.13357353,24.19695663,3.106264353,3.101727009,0.096332684,0,3.263220787,3.226723194,3.106264353,3.101727009,0.096332684,0,3.261348009,3.208823442,7.260000229,2166,2336,18,18,2.111424685,7.681098938,7.756623268,2.944438934,100077.5625,11.51371098,0,0.042849768,0,0.041957129,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,30.1802,16.7717,3.439783335,2.877607346,8.122668266
